,School/Previous Team,Picks
0,Kentucky,27
1,Duke,27
2,North Carolina,20
3,Kansas,17
4,Arizona,15
5,Connecticut,14
6,Michigan,10
7,Georgetown,9
8,Syracuse,9
9,California-Los Angeles,9
10,Texas,9
11,Nevada-Las Vegas,8
12,Ohio State,7
13,Memphis,7
14,Georgia Tech,7
15,Maryland,7
16,Indiana,7
17,Louisiana State,6
18,Louisville,6
19,Washington,6
20,Florida State,6
21,Florida,6
22,Alabama,6
23,Gonzaga,6
24,Arkansas,6
25,Michigan State,6
26,Oklahoma,5
27,Utah,5
28,North Carolina State,5
29,California,5
30,Southern California,4
31,Illinois,4
32,Stanford,4
33,Wake Forest,4
34,Villanova,4
35,Georgia,3
36,Baylor,3
37,Minnesota,3
38,Missouri,3
39,Brigham Young,3
40,Cincinnati,3
41,Fresno State,3
42,Oklahoma State,3
43,Temple,3
44,Oregon,3
45,Auburn,3
46,Colorado,2
47,Virginia,2
48,Vanderbilt,2
49,Tennessee,2
50,Arizona State,2
51,FC Barcelona Basquet (Spain),2
52,Guangdong Southern Tigers (China),2
53,Bradley,2
54,Miami (OH),2
55,Texas Tech,2
56,Wisconsin,2
57,Xavier,2
58,Ignite (G League),2
59,Providence,2
60,Maccabi Tel Aviv B.C. (Israel),2
61,Murray State,2
62,Iowa State,2
63,Kansas State,2
64,Creighton,2
65,Universo Treviso Basket (Italy),2
66,West Virginia,2
67,Pittsburgh,2
68,Boston College,1
69,Bakersfield,1
70,Dominguez,1
71,Shanghai Sharks (China),1
72,Cypress Creek,1
73,San Jose State,1
74,Barton Community College,1
75,PBC CSKA Moscow (Russia),1
76,SIG Strasbourg (France),1
77,Mississippi State,1
78,Tennessee State,1
79,BC Lietuvos rytas (Lithuania),1
80,Massachusetts,1
81,Ratiopharm Ulm (Germany),1
82,Purdue,1
83,Mount Zion Christian Academy,1
84,Jackson State,1
85,Davidson,1
86,Glynn Academy,1
87,East St. Louis,1
88,La Salle,1
89,Seattle Preparatory School,1
90,CB Sevilla (Spain),1
91,CR Vasco da Gama (Brazil),1
92,Washington State,1
93,New Mexico,1
94,Seton Hall,1
95,Abraham Lincoln,1
96,Saint Vincent-Saint Mary,1
97,KK Vrsac (Serbia),1
98,KK Cibona (Croatia),1
99,Southwest Atlanta Christian Academy,1
100,Lehigh,1
101,Weber State,1
102,Colgate,1
103,Texas A&M,1
104,Peoria,1
105,Saint Joseph,1
106,DJK Wurzburg (Germany),1
107,Real Madrid Baloncesto (Spain),1
108,Australian Institute of Sport (Australia),1
109,Hartford,1
110,St. John's (NY),1
111,Wichita State,1
112,Southern Mississippi,1
113,Rhode Island,1
114,Wright State,1
115,KK Partizan (Serbia),1
116,Marist,1
117,Northwest Florida State,1
118,Southern Methodist,1
119,Dayton,1
120,Farragut Career Academy,1
121,Pacific,1
122,Marquette,1
123,Central Michigan,1
124,Ball State,1
125,Oregon State,1
126,Texas Christian,1
127,Loyola-Marymount,1
128,Elan Bearnais Pau-Orthez (France),1
129,Joventut Badalona (Spain),1
130,Panathinaikos B.C. (Greece),1
131,Illawarra (Australia),1
132,BK Skonto (Latvia),1
133,Baloncesto Fuenlabrada (Spain),1
134,Rider,1
135,Pallacanestro Biella (Italy),1
136,Pallacanestro Virtus Roma (Italy),1
137,Navy,1
138,Baloncesto Malaga (Spain),1
139,Thornwood,1
140,Notre Dame,1
141,Saint Louis,1
142,Louisiana-Lafayette,1
143,Ohio,1
144,North Carolina-Charlotte,1
145,Bowling Green,1
146,Oak Hill Academy,1
147,Olimpia Milano (Italy),1
148,Lower Merion,1
149,Picayune Memorial,1
150,KK FMP (Serbia),1
151,NBA Global Academy (Australia),1
152,Virginia Union,1
153,VOO Wolves Verviers-Pepinster (Belgium),1
154,Butler,1
155,Central Arkansas,1
156,Clemson,1
157,Louisiana Tech,1
